ATP TENNIS PLAYERS DATABASE
Total unique players: 1799
Data from: 2000-2023
1292. Qureshi A.U.H.
1293. Rachidi Y.
1294. Radic M.
1295. Rafter P.
1296. Raja P.
1297. Ram A.
1298. Ram R.
1299. Ramanathan R.
1300. Ramirez C.
1301. Ramirez Hidalgo R.
1302. Ramirez-Hidalgo R.
1303. Ramos A.
1304. Ramos-Vinolas A.
1305. Raonic M.
1306. Raoux G.
1307. Rascon T.
1308. Rastogi K.
1309. Ratiwatana S.
1310. Rea S.
1311. Recouderc L.
1312. Rehberg M.
1313. Rehnquist B.
1314. Reichel A.
1315. Reid M.
1316. Reid T.
1317. Reinberg E.
1318. Reis Da Silva J.
1319. Reister J.
1320. Reix C.
1321. Rejchtman Vinciguerra W.
1322. Renavand N.
1323. Reneberg R.
1324. Rettenmaier T.
1325. Reyes-Varela M.A.
1326. Reynolds B.
1327. Riba P.
1328. Riba-Madrid P.
1329. Riedi L.
1330. Rieschick S.
1331. Riffice S.
1332. Rincon D.
1333. Rinderknech A.
1334. Rios F.
1335. Rios M.
1336. Ritschard A.
1337. Robert S.
1338. Robredo R.
1339. Robredo T.
1340. Robredo T. 
1341. Roca Batalla O.
1342. Rocha D.
1343. Rocha H.
1344. Rochus C.
1345. Rochus C. 
1346. Rochus O.
1347. Rochus O. 
1348. Roddick A.
1349. Rodesch C.
1350. Rodionov J.
1351. Rodrigues M.
1352. Rodriguez B.
1353. Rodriguez M.
1354. Rodriguez Taverna S.
1355. Roger-Vasselin E.
1356. Roitman S.
1357. Rola B.
1358. Romboli F.
1359. Rosenholm P.
1360. Roshardt R.
1361. Rosol L.
1362. Rosset M.
1363. Rottgering M.
1364. Roumane R.
1365. Roux L.
1366. Royer V.
1367. Rubin N.
1368. Rublev A.
1369. Ruevski P.
1370. Rufin G.
1371. Rune H.
1372. Rusedski G.
1373. Russell M.
1374. Ruud C.
1375. Ruusuvuori E.
1376. Rybakov A.
1377. Ryderstedt M.
1378. Sa A.
1379. Saavedra Corvalan C.
1380. Sabau R.
1381. Sabry S.
1382. Sachko V.
1383. Sadecky A.
1384. Safin M.
1385. Safiullin R.
1386. Safranek V.
1387. Safwat M.
1388. Sakamoto P.
1389. Sakamoto R.
1390. Sakellaridis S.
1391. Sakharov G.
1392. Salamanca C.
1393. Salva B.
1394. Salzenstein J.
1395. Samper-Montana J.
1396. Sampras P.
1397. Samrej K.
1398. Sanchez D.
1399. Sanchez De Luna J.
1400. Sanchez Izquierdo N.
1401. Sanchez J.
1402. Sanchez M.
1403. Sanchez de Luna J.A.
1404. Sandbichler A.
1405. Sandgren T.
1406. Sanguinetti D.
1407. Santillan A.
1408. Santopadre V.
1409. Santoro F.
1410. Saoudi S.
1411. Saretta F.
1412. Sargsian S.
1413. Sarkissian A.
1414. Sarmiento R.
1415. Sarstrand M.
1416. Satral J.
1417. Saulnier C.
1418. Saville L.
1419. Savolt A.
1420. Schalken S.
1421. Scherrer J.
1422. Scherrer J.C.
1423. Schiessling T.
1424. Schnur B.
1425. Scholtz N.
1426. Schoolkate T.
1427. Schoorel T.
1428. Schranz W.
1429. Schuettler P.
1430. Schuettler R.
1431. Schuettler R. 
1432. Schukin Y.
1433. Schuttler P.
1434. Schwaerzler J.
1435. Schwaerzler J.J.
1436. Schwank E.
1437. Schwartzman D.
1438. Searle H.
1439. Sekulic M.
1440. Sekulic P.
1441. Sekulov J.
1442. Sela D.
1443. Sell K.
1444. Sell M.
1445. Seppi A.
1446. Seppi A. 
1447. Serdarusic N.
1448. Sergeyev I.
1449. Serra F.
1450. Serra F. 
1451. Serrano O.
1452. Setkic A.
1453. Settergren J.
1454. Seyboth Wild T.
1455. Shane R.
1456. Shang J.
1457. Shapovalov D.
1458. Shelbayh A.
1459. Shelton B.
1460. Sherwood D.
1461. Shevchenko A.
1462. Shimabukuro S.
1463. Shimada T.
1464. Shimizu Y.
1465. Shvec A.
1466. Shyla Y.
1467. Sidorenko A.
1468. Siemerink J.
1469. Sijsling I.
1470. Silva D.
1471. Silva F.
1472. Silva F.F.
1473. Silva J.
1474. Simmonds P.
1475. Simon G.
1476. Simon G. 
1477. Simoni A.
1478. Simonsson F.
1479. Singh N.
1480. Singh S.
1481. Sinner J.
1482. Sirianni J.
1483. Siriluethaiwattana P.
1484. Sitak A.
1485. Skatov T.
1486. Skugor F.
1487. Slabinsky A.
1488. Slanar M.
1489. Sluiter R.
1490. Smeets R.
1491. Smethurst D.
1492. Smit J.
1493. Smith C.
1494. Smith J.P.
1495. Smith L.
1496. Smyczek T.
1497. Snobel P.
1498. Sock J.
1499. Soderling R.
1500. Soderlund C.
1501. Soeda G.
1502. Sonego L.
1503. Sorensen L.
1504. Soto M.
1505. Sousa J.
1506. Sousa P.
1507. Sousa T.
1508. Souza J.
1509. Spadea V.
1510. Spizzirri E.
1511. Spottl M.
1512. Squillari F.
1513. Squire H.
1514. Srichaphan N.
1515. Srichaphan P.
1516. Stadler S.
1517. Stafford G.
1518. Stakhovsky S.
1519. Stanoytchev O.
1520. Starace P.
1521. Stark J.
1522. Statham J.
1523. Statham R.
1524. Stebe C-M.
1525. Stebe C.M.
1526. Steckley R.
1527. Stepanek M.
1528. Stepanek R.
1529. Stepanek R. 
1530. Stoliarov A.
1531. Stoltenberg J.
1532. Stoppini A.
1533. Stricker D.
1534. Strode B.
1535. Struff J-L.
1536. Struff J.L.
1537. Struvay E.
1538. Sugita Y.
1539. Sultan-Khalfan A.
1540. Summerer T.
1541. Sun F.
1542. Sun P.
1543. Suresh D.
1544. Suzuki T.
1545. Svajda T.
1546. Svajda Z.
1547. Svarc L.
1548. Svrcina D.
1549. Sweeny D.
1550. Sweeting R.
1551. Syed F.
1552. Szymanski J.
1553. Tabara M.
1554. Taberner C.
1555. Tabilo A.
1556. Tabur C.
1557. Tahiri M.
1558. Taino E.
1559. Takahashi Y.
1560. Takeuchi K.
1561. Tarallo S.
1562. Tarango J.
1563. Tarvet O.
1564. Tavares L.
1565. Te R.
1566. Tearney F.
1567. Tebbutt M.
1568. Tecau H.
1569. Teixeira M.
1570. Tenconi T.
1571. Tepavac M.
1572. Terachi T.
1573. Thiem D.
1574. Thiem D. 
1575. Thomann N.
1576. Thomas J.
1577. Thompson C.
1578. Thompson J.
1579. Thron A.
1580. Tiafoe F.
1581. Tieleman L.
1582. Tien L.
1583. Tiilikainen K.
1584. Tillstrom M.
1585. Timfjord N.
1586. Tipsarevic J.
1587. Tipsarevic J. 
1588. Tirante T.A.
1589. Tiurnev E.
1590. Tkalec M.
1591. Tobon M.
1592. Todero N.
1593. Tomashevich D.
1594. Tomic B.
1595. Tong M.
1596. Topic J.
1597. Topo M.
1598. Torebko P.
1599. Torpegaard M.
1600. Tramacchi P.
1601. Travaglia S.
1602. Traykov I.
1603. Trevisan M.
1604. Trifu G.
1605. Trimmel C.
1606. Trinker B.
1607. Troicki V.
1608. Troicki V. 
1609. Trongcharoenchaikul W.
1610. Trotter J.K.
1611. Trujillo G.
1612. Trungelliti M.
1613. Trusendi W.
1614. Tseng C. H.
1615. Tseng C.H.
1616. Tsitsipas P.
1617. Tsitsipas S.
1618. Tsitsipas S. 
1619. Tsonga J.W.
1620. Tu L.
1621. Tuksar S.
1622. Turcanu R.D.
1623. Tursunov D.
1624. Tveit E.
1625. Tyurnev E.
1626. Uchida K.
1627. Uchiyama Y.
1628. Udomchoke D.
1629. Uebel L.
1630. Ugo Carabelli C.
1631. Ulihrach B.
1632. Ullyett K.
1633. Ungur A.
1634. Uppal V.
1635. Urban F.
1636. Vacek D.
1637. Vacek J.
1638. Vacherot V.
1639. Vagnozzi S.
1640. Vahaly B.
1641. Vaisse M.
1642. Vajda I.
1643. Valent R.
1644. Valkusz M.
1645. Vallejo D.
1646. Van Assche L.
1647. Van D. Merwe I.
1648. Van De Zandschulp B.
1649. Van Der Merwe I.
1650. Van Lottum J.
1651. Van Rijthoven T.
1652. Van der Dium A.
1653. Van der Merwe I.
1654. Vanek J.
1655. Vanni L.
1656. Vardhan V.
1657. Varillas J. P.
1658. Varillas J.P.
1659. Varlet J.
1660. Vasek R.
1661. Vasilevski A.
1662. Vassallo-Arguello M.
1663. Vassallo-Arguello M. 
1664. Vatutin A.
1665. Vavassori A.
1666. Vega Hernandez D.
1667. Veger F.
1668. Veic A.
1669. Velotti A.
1670. Vemic D.
1671. Ventura S.
1672. Venus M.
1673. Verdasco F.
1674. Verdasco F. 
1675. Verdasco M.
1676. Verkerk M.
1677. Veronelli D.
1678. Vesely J.
1679. Vicente F.
1680. Vicente M.
1681. Vico U.
1682. Vik R.
1683. Vilella Martinez M.
1684. Villanueva G.
1685. Viloca J.A.
1686. Vinciguerra A.
1687. Vinck C.
1688. Viola M.
1689. Viola Mat.
1690. Virtanen O.
1691. Vlasov D.
1692. Vliegen K.
1693. Voinea A.
1694. Volandri F.
1695. Voltchkov V.
1696. Vovk S.
1697. Vrbensky M.
1698. Vukic A.
1699. Wachiramanowong K.
1700. Walter L.
1701. Walton A.
1702. Wang C.
1703. Wang J.
1704. Wang Y.
1705. Wang Y. Jr
1706. Wang Y.Jr.
1707. Wang Y.T.
1708. Warburg S.
1709. Ward A.
1710. Ward J.
1711. Washington M.
1712. Waske A.
1713. Wassen R.
1714. Watanuki Y.
1715. Watt J.
1716. Wawrinka S.
1717. Wawrinka S. 
1718. Weiner G.
1719. Weintraub A.
1720. Weinzierl J.
1721. Wessels L.
1722. Wessels P.
1723. Westerhof B.
1724. Wheaton D.
1725. Whitehouse W.
1726. Whittington A.
1727. Widom T.
1728. Willems R.
1729. Williams R.
1730. Willis M.
1731. Willman D.
1732. Wilson B.
1733. Wiltschnig H.
1734. Witt A.
1735. Witten J.
1736. Wolf J.J.
1737. Wolmarans F.
1738. Wong C.
1739. Woodbridge T.
1740. Woodforde M.
1741. Woodruff C.
1742. Wu D.
1743. Wu T.L.
1744. Wu Y.
1745. Xu J.C.
1746. Yang T.H.
1747. Yani M.
1748. Yevseyev D.
1749. Yim R.
1750. Ymer E.
1751. Ymer M.
1752. Yoon Y.
1753. Young D.
1754. Youzhny A.
1755. Youzhny M.
1756. Youzhny M. 
1757. Yu X.Y.
1758. Yuksel A.
1759. Zabaleta M.
1760. Zahraj P.
1761. Zampieri C.
1762. Zapata Miralles B.
1763. Zayed M. S.
1764. Zayid M. S.
1765. Zayid M.S.
1766. Zeballos H.
1767. Zeballos H. 
1768. Zekic M.
1769. Zemlja G.
1770. Zeng S.X.
1771. Zeppieri G.
1772. Zhang Y.
1773. Zhang Z.
1774. Zhang Ze
1775. Zhang Ze.
1776. Zhang Zh.
1777. Zheng M.
1778. Zhou Y.
1779. Zhu B.Q.
1780. Zhukayev B.
1781. Ziadi M.
1782. Zib T.
1783. Zimonjic N.
1784. Zitko R.
1785. Zlatanovic A.
1786. Zopp J.
1787. Zovko L.
1788. Zuk K.
1789. Zverev A.
1790. Zverev A. 
1791. Zverev M.
1792. de Chaunac S.
1793. de Voest R.
1794. di Mauro A.
1795. di Pasquale A.
1796. van Gemerden M.
1797. van Lottum J.
1798. van Scheppingen D.
1799. van der Meer N.
